VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-04-08 21:01:52,2022-04-08 21:15:44,1.0,1.9,1.0,N,79,231,2,10.5,3.0,0.5,4.25,0.0,0.3,18.55,2.5,0.0
2,2022-04-08 20:56:25,2022-04-08 21:20:51,1.0,3.96,1.0,N,162,148,2,17.5,0.5,0.5,5.32,0.0,0.3,26.62,2.5,0.0
2,2022-04-08 21:04:18,2022-04-08 21:17:28,2.0,1.34,1.0,N,79,148,2,9.5,0.5,0.5,1.33,0.0,0.3,14.63,2.5,0.0
2,2022-04-08 21:39:02,2022-04-08 21:44:58,1.0,1.04,1.0,N,137,79,2,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-04-08 21:55:53,2022-04-08 22:17:00,2.0,8.15,1.0,N,244,68,2,25.0,0.5,0.5,7.2,0.0,0.3,36.0,2.5,0.0
2,2022-04-08 22:27:19,2022-04-08 22:35:28,1.0,1.67,1.0,N,143,151,2,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5,0.0
2,2022-04-08 22:23:02,2022-04-08 22:42:47,1.0,8.17,1.0,N,138,41,2,25.0,0.5,0.5,6.57,6.55,0.3,40.67,0.0,1.25
2,2022-04-08 22:56:14,2022-04-08 23:02:03,6.0,1.1,1.0,N,79,79,2,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-04-08 23:58:04,2022-04-09 00:11:56,1.0,2.27,1.0,N,161,107,3,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5,0.0
2,2022-04-08 23:28:33,2022-04-08 23:48:55,1.0,9.58,1.0,N,138,232,2,29.0,0.5,0.5,6.81,0.0,0.3,40.86,2.5,1.25
2,2022-04-09 00:52:45,2022-04-09 01:06:42,1.0,2.8,1.0,N,113,229,3,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5,0.0
2,2022-04-09 01:17:41,2022-04-09 01:23:31,3.0,0.51,1.0,N,186,100,3,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,2022-04-09 01:37:58,2022-04-09 02:01:32,2.0,3.45,1.0,N,148,164,2,16.5,0.5,0.5,5.08,0.0,0.3,25.38,2.5,0.0
2,2022-04-09 03:59:07,2022-04-09 04:07:24,1.0,1.59,1.0,N,48,237,2,8.0,0.5,0.5,1.77,0.0,0.3,13.57,2.5,0.0
2,2022-04-09 06:56:48,2022-04-09 07:31:05,2.0,17.34,2.0,N,132,68,3,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5,1.25
2,2022-04-09 09:19:18,2022-04-09 09:27:47,1.0,1.58,1.0,N,229,43,2,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5,0.0
2,2022-04-09 11:02:31,2022-04-09 11:14:06,1.0,1.77,1.0,N,262,238,2,9.5,0.0,0.5,3.2,0.0,0.3,16.0,2.5,0.0
2,2022-04-09 11:02:50,2022-04-09 11:09:24,6.0,0.94,1.0,N,262,236,2,6.0,0.0,0.5,2.32,0.0,0.3,11.62,2.5,0.0
2,2022-04-09 12:22:43,2022-04-09 12:32:17,1.0,1.62,1.0,N,170,113,2,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5,0.0
1,2022-04-09 12:54:12,2022-04-09 13:17:51,1.0,3.8,1.0,N,107,143,2,17.5,2.5,0.5,4.16,0.0,0.3,24.96,2.5,0.0
